&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&promotion.the_end_of_the_promotion_must_be_greater_than_the_start_of_the_promotion.&##&,&##&促销活动结束时间必须大于促销活动开始时间&##&
&##&promotion.shy&##&,&##&害羞&##&
&##&promotion.date_of_voucher_activity&##&,&##&券活动日期&##&
&##&promotion.no&##&,&##&否&##&
&##&promotion.a_single_spell&##&,&##&单拼&##&
&##&promotion.sign_out&##&,&##&退出&##&
&##&promotion.minimum_value_input_of_coupon_face_value_is_incorrect&##&,&##&优惠券面值最小值输入有误&##&
&##&promotion.add_product_restrictions&##&,&##&添加产品限制&##&
&##&promotion.beaten&##&,&##&被殴&##&
&##&promotion.there_are_repeated_items_in_the_promotion_rules&##&,&##&促销规则存在重复项目&##&
&##&promotion.failed&##&,&##&已失效&##&
&##&promotion.hide_editors&##&,&##&隐藏编辑器&##&
&##&promotion.a_list_of_iran_cards&##&,&##&伊点卡列表&##&
&##&promotion.country&##&,&##&国&##&
&##&promotion.establish&##&,&##&创建&##&
&##&promotion.lottery_management&##&,&##&抽奖管理&##&
&##&promotion.ritual_gold_card&##&,&##&礼金卡卡种&##&
&##&promotion.single_user_s_limit_cannot_be_empty&##&,&##&单用户参团限制不能为空&##&
&##&promotion.full_price_reductions&##&,&##&满额减价&##&
&##&promotion.commodity_coding&##&,&##&商品编码&##&
&##&promotion.people_buy_goods_offered_to_reach_the_number_of_packages_or_group_can_be_together&##&,&##&参团人购买的商品达到件数或者达到成团人数时即可成团&##&
&##&promotion.lately&##&,&##&最近&##&
&##&promotion.number_of_available_vouchers&##&,&##&可生券张数&##&
&##&promotion.not_added_to_any_commodity&##&,&##&未追加到任何商品&##&
&##&promotion.the_number_of_single_order_limited_vouchers_must_be_positive_integers&##&,&##&单个订单限用券数必须为正整数&##&
&##&promotion.courtesy_card_home_page&##&,&##&礼金卡首页&##&
&##&promotion.payment_mode_configuration&##&,&##&支付方式配置&##&
&##&promotion.create_payment_preferences&##&,&##&创建支付优惠活动&##&
&##&promotion.smile&##&,&##&微笑&##&
&##&promotion.binding_account&##&,&##&绑定账户&##&
&##&promotion.bottom_line&##&,&##&砍价底线&##&
&##&promotion.or_at_least_buy&##&,&##&或者至少购买&##&
&##&promotion.full_scale_upgrade&##&,&##&满量升级&##&
&##&promotion.send_coupons&##&,&##&发券&##&
&##&promotion.total_purchase_limit&##&,&##&购买总额限制&##&
&##&promotion.scavenging_fonts&##&,&##&清除字体&##&
&##&promotion.kuangyun&##&,&##&狂晕&##&
&##&promotion.i&##&,&##&幼圆&##&
&##&promotion.sales_effective_time&##&,&##&销售生效时间&##&
&##&promotion.audit_success&##&,&##&审核成功&##&
&##&promotion.download_template&##&,&##&下载模板&##&
&##&promotion.a&##&,&##&件第&##&
&##&promotion.collage_management&##&,&##&拼团管理&##&
&##&promotion.create_a_bargain_promotion&##&,&##&创建砍价促销活动&##&
&##&promotion.ritual_gold_card_code&##&,&##&礼金卡密码&##&
&##&promotion.the_full_width_half_angle.&##&,&##&全角转半角&##&
&##&promotion.station&##&,&##&站&##&
&##&promotion.activity&##&,&##&活动&##&
&##&promotion.retail_special_input_is_mistaken&##&,&##&零售特价输入有误&##&
&##&promotion.see&##&,&##&查看&##&
&##&promotion.the_coupon_type_cannot_be_empty&##&,&##&优惠券类型不能为空&##&
&##&promotion.name_of_the_activity&##&,&##&所属活动名称&##&
&##&promotion.the_number_of_members_must_be_positive_integers&##&,&##&成团人数必须为正整数&##&
&##&promotion.please_select_the_product_that_needs_to_be_deleted&##&,&##&请选择需要删除的产品&##&
&##&promotion.the_server&##&,&##&服务器&##&
&##&promotion.an_expired_promotion&##&,&##&已过期的促销活动&##&
&##&promotion.screenshot_plug-in_and_run_installation&##&,&##&截图插件并运行安装&##&
&##&promotion.italic&##&,&##&斜体&##&
&##&promotion.city&##&,&##&城市&##&
&##&promotion.collage_rules&##&,&##&拼团活动规则&##&
&##&promotion.the_start_time_cannot_be_greater_than_the_end_time&##&,&##&报名开始时间不能大于结束时间&##&
&##&promotion.whether_the_winning_list_can_not_be_displayed_at_the_front_desk_is_not_empty&##&,&##&是否在前台显示中奖名单不能为空&##&
&##&promotion.collage_activities&##&,&##&拼团活动&##&
&##&promotion.choose_to_participate_in_the_store&##&,&##&选择参与商家&##&
&##&promotion.active_inventory_must_be_a_positive_integer&##&,&##&活动库存量必须为正整数&##&
&##&promotion.add_the_table_name_line&##&,&##&添加表格名称行&##&
&##&promotion.the_frequency_of_the_total_limit_must_be_a_positive_integer&##&,&##&总限砍次数必须为正整数&##&
&##&promotion.the_type_of_member_of_the_granting_object_must_be_selected&##&,&##&发放对象会员类型必须选择&##&
&##&promotion.you&##&,&##&你&##&
&##&promotion.voucher_time&##&,&##&生券时间&##&
&##&promotion.channel_of_cooperation&##&,&##&合作渠道&##&
&##&promotion.distance&##&,&##&距&##&
&##&promotion.the_following_goods_are_beyond_the_upper_limit_of_activity&##&,&##&以下商品超出活动上限&##&
&##&promotion.please_check_the_link_address_or_network_status&##&,&##&请检查链接地址或网络状态&##&
&##&promotion.delete&##&,&##&删除&##&
&##&promotion.random_amount&##&,&##&随机金额&##&
&##&promotion.leon&##&,&##&绿豆蛙&##&
&##&promotion.consignee&##&,&##&收货人&##&
&##&promotion.public_price_input_is_wrong&##&,&##&众筹价输入有误&##&
&##&promotion.each_purchase_number_can_not_be_larger_than_the_purchase_of_individual_number&##&,&##&每单限购数不能大于个人限购数&##&
&##&promotion.target_user&##&,&##&目标用户&##&
&##&promotion.common&##&,&##&共&##&
&##&promotion.money_set_off&##&,&##&定金抵扣金额&##&
&##&promotion.not_yet_drawing&##&,&##&尚未作画&##&
&##&promotion.small_box&##&,&##&小方块&##&
&##&promotion.existence_of_subproduct_price_inconsistencies&##&,&##&存在子品价格不一致&##&
&##&promotion.the_blank_slate&##&,&##&白纸一张&##&
&##&promotion.select_by_circling_the_candidates_names&##&,&##&圈选&##&
&##&promotion.positive_number_of_bit_decimal&##&,&##&位小数的正数&##&
&##&promotion.the_user_name_is_a_mobile_phone_number&##&,&##&用户名为手机号码&##&
&##&promotion.post_inserting_paragraph&##&,&##&后插入段落&##&
&##&promotion.confirm_the_addition&##&,&##&确认添加&##&
&##&promotion.star_flicker&##&,&##&星星闪&##&
&##&promotion.launch_channel&##&,&##&投放渠道&##&
&##&promotion.users_enjoy_the_new&##&,&##&新用户专享&##&
&##&promotion.associated_activity_time&##&,&##&关联活动时间&##&
&##&promotion.coupon_type&##&,&##&优惠券类型&##&
&##&promotion.blackbody&##&,&##&黑体&##&
&##&promotion.set_of_preferential_setting&##&,&##&套餐优惠设置&##&
&##&promotion.regional_classification&##&,&##&地区分类&##&
&##&promotion.bulb&##&,&##&灯泡&##&
&##&promotion.staircase_rule_conditions_cannot_be_repeated&##&,&##&阶梯规则条件不能重复&##&
&##&promotion.custom_deadline&##&,&##&自定义期限&##&
&##&promotion.activity_description&##&,&##&活动描述&##&
&##&promotion.direct_drop_maximum_input&##&,&##&直降最多输入&##&
&##&promotion.suggested_use&##&,&##&建议使用&##&
&##&promotion.date_of_activity&##&,&##&活动日期&##&
&##&promotion.the_end_time_of_payment_must_be_greater_than_the_beginning_of_the_tail_payment&##&,&##&尾款支付结束时间必须大于尾款开始时间&##&
&##&promotion.contract_classification&##&,&##&合同分类&##&
&##&promotion.delivery_time_cannot_be_empty&##&,&##&发货时间不能为空&##&
&##&promotion.effective_end_time_of_recommendation&##&,&##&推荐码有效结束时间&##&
&##&promotion.whether_or_not_to_delete_goods_in_batch&##&,&##&是否批量删除商品&##&
&##&promotion.unlimited&##&,&##&不限&##&
&##&promotion.full_gift&##&,&##&满额赠&##&
&##&promotion.the_limit_of_single_maximum_exemption&##&,&##&单笔最高免单金额限制在&##&
&##&promotion.the_start_time_of_the_date_of_the_card_cannot_be_greater_than_the_end_time&##&,&##&生卡日期开始时间不能大于结束时间&##&
&##&promotion.download_results&##&,&##&下载结果&##&
&##&promotion.list_of_registration_activities&##&,&##&报名活动列表&##&
&##&promotion.whether_to_confirm_batch_deletion_of_selected_goods&##&,&##&是否确认批量删除已选商品&##&
&##&promotion.the_name_of_the_prize_can_not_be_empty&##&,&##&奖品名称不能为空&##&
&##&promotion.the_start_time_of_the_registration_is_not_empty&##&,&##&报名活动开始时间不能为空&##&
&##&promotion.the_greater_the_set_of_sequence_values&##&,&##&顺序值设置越大&##&
&##&promotion.bindings&##&,&##&已绑定&##&
&##&promotion.brand_name&##&,&##&品牌名称&##&
&##&promotion.throw_a_table&##&,&##&扔桌子&##&
&##&promotion.template_import&##&,&##&模板导入&##&
&##&promotion.yesterday&##&,&##&昨日&##&
&##&promotion.effective_time&##&,&##&有效时间&##&
&##&promotion.size_of_original_map&##&,&##&原图尺寸&##&
&##&promotion.audit_failed_to_pass&##&,&##&审核未通过&##&
&##&promotion.please_confirm_the_input&##&,&##&请确认输入&##&
&##&promotion.year&##&,&##&年&##&
&##&promotion.secondary_configuration_obtained&##&,&##&中配置获得的&##&
&##&promotion.the_files_cant_all_be_empty&##&,&##&文件不能都为空&##&
&##&promotion.the_last_step&##&,&##&上一步&##&
&##&promotion.the_input_video_address_is_mistaken&##&,&##&输入的视频地址有误&##&
&##&promotion.table_property&##&,&##&表格属性&##&
&##&promotion.eat_watermelon&##&,&##&吃西瓜&##&
&##&promotion.preferential_upper_limit&##&,&##&优惠上限&##&
&##&promotion.hint_text&##&,&##&提示文字&##&
&##&promotion.please_select_the_activities_that_need_to_be_associated&##&,&##&请选择需要关联的活动&##&
&##&promotion.trial_activity&##&,&##&试用活动&##&
&##&promotion.error&##&,&##&错误&##&
&##&promotion.a_persons_daily_limit_is_not_empty&##&,&##&个人每日限领不能为空&##&
&##&promotion.promotion_audit_list&##&,&##&促销审核列表&##&
&##&promotion.the_limit_of_collage_is_not_empty&##&,&##&拼团库存限制不能为空&##&
&##&promotion.text-indent&##&,&##&首行缩进&##&
&##&promotion.maid_setting&##&,&##&分佣设置&##&
&##&promotion.the_screenshot_needs_to_be_installed_first&##&,&##&截图功能需要首先安装&##&
&##&promotion.business_area&##&,&##&商家地区&##&
&##&promotion.crowd-funding&##&,&##&众筹&##&
&##&promotion.can_be_sold_by_different_denominations&##&,&##&可设置不同面值进行售卖&##&
&##&promotion.loading&##&,&##&加载中&##&
&##&promotion.please_choose_a_store_that_needs_to_be_added&##&,&##&请选择需要添加的商家&##&
&##&promotion.enter_your_email_address&##&,&##&键入您的电子邮件地址&##&
&##&promotion.an_order&##&,&##&一笔订单达&##&
&##&promotion.create_a_gift_promotion&##&,&##&创建赠送类促销活动&##&
&##&promotion.date_of_voucher&##&,&##&生券日期&##&
&##&promotion.please_enter_the_address&##&,&##&请输入地址&##&
&##&promotion.the_number_of_personal_limits_must_be_positive_integers&##&,&##&个人限领数必须为正整数&##&
&##&promotion.poor&##&,&##&可怜&##&
&##&promotion.as&##&,&##&如&##&
&##&promotion.winning_rate&##&,&##&中奖率&##&
&##&promotion.single_cash&##&,&##&免单现金&##&
&##&promotion.ah&##&,&##&有啊&##&
&##&promotion.halo&##&,&##&晕&##&
&##&promotion.please_rechoose&##&,&##&请重新选择&##&
&##&promotion.upgrade&##&,&##&升级&##&
&##&promotion.only_keep_the_label&##&,&##&只保留标签&##&
&##&promotion.the_goods_are_on_the_road&##&,&##&货在路上&##&
&##&promotion.full_reduction&##&,&##&满减优惠&##&
&##&promotion.query_replacement&##&,&##&查询替换&##&
&##&promotion.the_success_of_the_gift_promotion&##&,&##&赠送类促销活动创建成功&##&
&##&promotion.a_document&##&,&##&个文件&##&
&##&promotion.the_success_of_the_coupon_creation&##&,&##&优惠券创建成功&##&
&##&promotion.picture_dialog_box&##&,&##&图片对话框&##&
&##&promotion.continue_through&##&,&##&继续通过&##&
&##&promotion.post_discount_price&##&,&##&折后价&##&
&##&promotion.full_sale&##&,&##&全款预售&##&
&##&promotion.active_goods&##&,&##&活动商品&##&
&##&promotion.the_note_can_not_be_empty&##&,&##&备注不能为空&##&
&##&promotion.when_the_mouse_moves_to_the_corresponding_block_in_the_pie_chart&##&,&##&当鼠标移动到饼图中相应的块上时&##&
&##&promotion.passwords_support_most_of_the_input&##&,&##&口令最多支持输入&##&
&##&promotion.online_management&##&,&##&在线管理&##&
&##&promotion.the_name_of_the_label_should_be_limited_to&##&,&##&标签名称应限制在&##&
&##&promotion.name_and_order&##&,&##&名下单&##&
&##&promotion.yes&##&,&##&是&##&
&##&promotion.no_background_color&##&,&##&无背景色&##&
&##&promotion.limit_purchase&##&,&##&添加限购&##&
&##&promotion.please_enter_the_most&##&,&##&请输入最多&##&
&##&promotion.datum_unit&##&,&##&基准单位&##&
&##&promotion.sample&##&,&##&示例&##&
&##&promotion.delete_line&##&,&##&删除行&##&
&##&promotion.create_a_special_package_for_a_set_meal&##&,&##&创建套餐优惠促销活动&##&
&##&promotion.variety&##&,&##&综艺&##&
&##&promotion.change_the_purchase_threshold&##&,&##&换购门槛&##&
&##&promotion.table_delete_prompt&##&,&##&表格删除提示&##&
&##&promotion.the_amount_of_the_fixed_payment_can_not_be_greater_than_the_pre_sale_price&##&,&##&定金抵扣金额不能大于预售价&##&
&##&promotion.no_card&##&,&##&不能生卡&##&
&##&promotion.separate&##&,&##&分隔&##&
&##&promotion.culture&##&,&##&修养&##&
&##&promotion.attribute&##&,&##&属性&##&
&##&promotion.click_open_to_select_the_picture_upload_process&##&,&##&点击打开后选择图片上传流程&##&
&##&promotion.the_number_of_raw_cards_must_be_positive_integers&##&,&##&生卡张数必须为正整数&##&
&##&promotion.insert_a_given_content&##&,&##&插入给定的内容&##&
&##&promotion.export_commodities_to_be_audited&##&,&##&导出待财务审核商品&##&
&##&promotion.please_choose_to_delete&##&,&##&请选择需要删除的&##&
&##&promotion.the_adjustment_of_the_purchase_price&##&,&##&调整进价&##&
&##&promotion.whether_the_replication_activity_is_confirmed&##&,&##&是否确认复制活动&##&
&##&promotion.add_brand&##&,&##&添加品牌&##&
&##&promotion.depressed&##&,&##&郁闷&##&
&##&promotion.previous_page&##&,&##&上一页&##&
&##&promotion.the_preferential_setting_can_not_be_empty&##&,&##&优惠设置不能为空&##&
&##&promotion.awesome&##&,&##&超赞&##&
&##&promotion.server_return_format_error&##&,&##&服务器返回格式错误&##&
&##&promotion.import_data&##&,&##&导入数据&##&
&##&promotion.you_first_need_to_introduce&##&,&##&您首先需要引入&##&
&##&promotion.export_the_goods_to_be_audited&##&,&##&导出待审核商品&##&
&##&promotion.reduce&##&,&##&减&##&
&##&promotion.marketing_type&##&,&##&营销类型&##&
&##&promotion.piece&##&,&##&件&##&
&##&promotion.the_same_members_will_be_covered&##&,&##&相同的成员将会被覆盖&##&
&##&promotion.shanghai&##&,&##&上海&##&
&##&promotion.frog&##&,&##&青蛙&##&
&##&promotion.bar_data&##&,&##&条数据&##&
&##&promotion.custom_end_time_must_be_greater_than_custom_start_time&##&,&##&自定义结束时间必须大于自定义开始时间&##&
&##&promotion.on_the_wall&##&,&##&抓墙&##&
&##&promotion.whether_the_plug-in_is_installed_correctly&##&,&##&插件是否正确安装&##&
&##&promotion.the_validity_period_of_the_gift_card_must_be_a_positive_integer&##&,&##&礼金卡有效期必须为正整数&##&
&##&promotion.sales_must_be_positive_integers&##&,&##&销量必须是正整数&##&
&##&promotion.setting_the_coupon_rules&##&,&##&设置优惠券规则&##&
&##&promotion.representing_each_user&##&,&##&表示每个用户&##&
&##&promotion.store&##&,&##&店铺&##&
&##&promotion.the_daily_time_period_can_not_be_empty&##&,&##&每日时间段不能为空&##&
&##&promotion.upper_limit_of_the_number_of_user_preferences_per_user&##&,&##&每个用户优惠次数上限&##&
&##&promotion.the_number_of_sharing_can_not_be_empty_after_sharing&##&,&##&分享后可领个数不能为空&##&
&##&promotion.brush_ones_teeth&##&,&##&刷牙&##&
&##&promotion.setting_up_sales_promotion_rules&##&,&##&设置促销规则&##&
&##&promotion.group_success&##&,&##&组团成功&##&
&##&promotion.type&##&,&##&类型&##&
&##&promotion.set_the_proportion_of_fixed_domestic_servants_in_accordance_with_the_registered_commodities&##&,&##&按报名商品设置固定分佣比例&##&
&##&promotion.chart_type&##&,&##&图表类型&##&
&##&promotion.a_single_drop&##&,&##&单一直降&##&
&##&promotion.please_select_the_category_that_needs_to_be_deleted&##&,&##&请选择需要删除的类目&##&
&##&promotion.left_floating&##&,&##&左浮动&##&
&##&promotion.buy_goods_to_give&##&,&##&买商品赠&##&
&##&promotion.copy&##&,&##&复制&##&
&##&promotion.the_server_may_refuse_to_save&##&,&##&服务器可能拒绝保存&##&
&##&promotion.add_promotional_goods&##&,&##&添加促销商品&##&
&##&promotion.multi_to_one&##&,&##&多对一&##&
&##&promotion.word&##&,&##&图文混排&##&
&##&promotion.distance_after_sections&##&,&##&段后距&##&
&##&promotion.platform_total_number_of_activities&##&,&##&平台总限购数&##&
&##&promotion.please_use_it&##&,&##&请使用&##&
&##&promotion.please_select_the_state_of_voucher&##&,&##&请选择券状态&##&
&##&promotion.turn_right&##&,&##&向右旋转&##&
&##&promotion.dance_down&##&,&##&舞倒&##&
&##&promotion.continue_uploading&##&,&##&继续上传&##&
&##&promotion.salute&##&,&##&滴汗&##&
&##&promotion.empty_file_cant_be_uploaded&##&,&##&空文件无法上传&##&
&##&promotion.request_error&##&,&##&请求错误&##&
&##&promotion.six_prize&##&,&##&六等奖&##&
&##&promotion.the_number_of_booked_input_is_mistaken&##&,&##&已预订数量输入有误&##&
&##&promotion.electronic_card_is_not_selected_related_goods_can_not_be_used&##&,&##&电子卡不选关联商品无法使用&##&
&##&promotion.collocation_group&##&,&##&搭配商品组&##&
&##&promotion.concessions_including_the_full_capacity_reduction_and_full_reduction&##&,&##&优惠方式包括满额减和满额折&##&
&##&promotion.audition&##&,&##&试听&##&
&##&promotion.paste_options&##&,&##&粘贴选项&##&
&##&promotion.can_be_edited&##&,&##&可以编辑&##&
&##&promotion.not_allowed_picture_formats_or_picture_fields&##&,&##&不允许的图片格式或者图片域&##&
&##&promotion.the_starting_price_of_the_price_can_not_be_empty&##&,&##&砍价起始价不能为空&##&
&##&promotion.coupons&##&,&##&优惠券种类&##&
&##&promotion.cool&##&,&##&耍酷&##&
&##&promotion.create_a_package_post_promotion&##&,&##&创建包邮促销活动&##&
&##&promotion.it_is_necessary_to_fill_in_the_valid_amount&##&,&##&必须填写有效金额&##&
&##&promotion.number_of_vouchers&##&,&##&生券张数&##&
&##&promotion.member_limit_purchase&##&,&##&会员限购活动&##&
&##&promotion.determine_the_addition_of&##&,&##&确定添加&##&
&##&promotion.package_discount&##&,&##&套餐优惠&##&
&##&promotion.common_settings&##&,&##&常用设置&##&
&##&promotion.screenshot&##&,&##&截图&##&
&##&promotion.preferential_setting&##&,&##&优惠设置&##&
&##&promotion.ongoing_promotions&##&,&##&进行中的促销活动&##&
&##&promotion.within_the_word&##&,&##&字以内&##&
&##&promotion.empty_draft_box&##&,&##&已清空草稿箱&##&
&##&promotion.allowed_scroll_bar&##&,&##&允许滚动条&##&
&##&promotion.please_choose_the_city&##&,&##&请选择城市&##&
&##&promotion.activity_priority&##&,&##&活动优先级&##&
&##&promotion.list_of_lottery_activities&##&,&##&抽奖活动列表&##&
&##&promotion.whether_or_not_to_reset_the_profit_rules_can_not_be_empty&##&,&##&是否重设分利规则不能为空&##&
&##&promotion.essential_information&##&,&##&基本信息&##&
&##&promotion.operation_time&##&,&##&操作时间&##&
&##&promotion.the_type_of_voucher_can_not_be_empty&##&,&##&发券类型不能为空&##&
&##&promotion.please_choose_a_gift_card_that_needs_to_be_abandoned&##&,&##&请选择需要作废的礼金卡&##&
&##&promotion.the_end_time_of_the_entry_into_effect_can_not_be_empty&##&,&##&进货生效结束时间不能为空&##&
&##&promotion.store_code&##&,&##&商家编码&##&
&##&promotion.percentage_of_the_actual_amount_of_goods_paid_by_the_order&##&,&##&订单实付商品金额百分比&##&
&##&promotion.wood&##&,&##&木&##&
&##&promotion.the_success_of_exchange_code_generation&##&,&##&兑换码生成成功&##&
&##&promotion.inventory&##&,&##&库存量&##&
&##&promotion.old_users_exclusive&##&,&##&老用户专享&##&
&##&promotion.refunding&##&,&##&退款中&##&
&##&promotion.selective_background_interlacing&##&,&##&选区背景隔行&##&
&##&promotion.come&##&,&##&来&##&
&##&promotion.a_commercial_prepaid_card&##&,&##&一种商业预付卡&##&
