&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.the_input_of_total_limit_purchase_number_is_incorrect&##&,&##&the input of total limit purchase number is incorrect&##&
&##&promotion.the_amount_of_times&##&,&##&double quantity&##&
&##&promotion.single_integral&##&,&##&single integral&##&
&##&promotion.backend_configuration_items_are_not_loaded_normally&##&,&##&backend configuration items are not loaded normally&##&
&##&promotion.commodity_price&##&,&##&commodity price&##&
&##&promotion.enabled&##&,&##&enabled&##&
&##&promotion.start_and_stop_time&##&,&##&start and stop time&##&
&##&promotion.formatting_brush&##&,&##&formatting brush&##&
&##&promotion.please_choose_the_product_that_needs_to_be_withdrawn&##&,&##&please choose the product that needs to be withdrawn&##&
&##&promotion.status_of_registration_activities&##&,&##&status of registration activities&##&
&##&promotion.data_alignment&##&,&##&data alignment&##&
&##&promotion.order_this_application&##&,&##&order this application&##&
&##&promotion.the_automatic_group_setting_must_be_a_positive_integer&##&,&##&the automatic group setting must be a positive integer&##&
&##&promotion.please_wait&##&,&##&please wait&##&
&##&promotion.promotion_search_list&##&,&##&promotion search list&##&
&##&promotion.continue_to_add_dispaid_promotions&##&,&##&continue to add dispaid promotions&##&
&##&promotion.function&##&,&##&function&##&
&##&promotion.store_address&##&,&##&store address&##&
&##&promotion.symbol_conversion&##&,&##&symbol conversion&##&
&##&promotion.female_bag&##&,&##&female bag&##&
&##&promotion.the_start_time_of_the_voucher_activity_is_not_greater_than_the_end_time&##&,&##&the start time of the voucher activity is not greater than the end time&##&
&##&promotion.redo&##&,&##&redo&##&
&##&promotion.the_upper_limit_of_the_amount_should_be_limited_to&##&,&##&the upper limit of the amount should be limited to&##&
&##&promotion.that_the_number_of_goods_purchased_by_a_user_exceeds_the_number_of_active_purchases&##&,&##&that the number of goods purchased by a user exceeds the number of active purchases&##&
&##&promotion.system_hints&##&,&##&system hints&##&
&##&promotion.binding_time&##&,&##&binding time&##&
&##&promotion.ritual_gold_card_face_value&##&,&##&ritual gold card face value&##&
&##&promotion.set_by_activity&##&,&##&set by activity&##&
&##&promotion.the_number_of_prizes_must_be_positive_integers&##&,&##&the number of prizes must be integers&##&
&##&promotion.the_rules_must_be_filled_in&##&,&##&the rules must be filled in&##&
&##&promotion.the_end_time_of_payment_of_deposit_payment_is_incorrect&##&,&##&the end time of payment of deposit payment is incorrect&##&
&##&promotion.the_start_time_of_the_activity_can_not_be_empty&##&,&##&the start time of the activity can not be empty&##&
&##&promotion.has_been_used&##&,&##&has been used&##&
&##&promotion.store_goods&##&,&##&store goods&##&
&##&promotion.chart_title&##&,&##&chart title&##&
&##&promotion.non_winning_note&##&,&##&non winning note&##&
&##&promotion.total_number_of_registered_goods&##&,&##&total number of registered goods&##&
&##&promotion.the_choice_of_self_-_voucher_can_only_act_on_self_-_owned_goods&##&,&##&the choice of self - voucher can only act on self - owned goods&##&
&##&promotion.six&##&,&##&six&##&
&##&promotion.there_is_a_duplicate_item_on_the_promotion_condition&##&,&##&there is a duplicate item on the promotion condition&##&
&##&promotion.the_plain_text_content_of_the_editor_is&##&,&##&the plain text content of the editor is&##&
&##&promotion.template&##&,&##&template&##&
&##&promotion.quantity_of_delivery&##&,&##&quantity of delivery&##&
&##&promotion.company&##&,&##&company&##&
&##&promotion.goods_have_been_set_up&##&,&##&goods have been set up&##&
&##&promotion.draw_rules&##&,&##&draw rules&##&
&##&promotion.hands-on_background&##&,&##&hands-on background&##&
&##&promotion.file_upload&##&,&##&file upload&##&
&##&promotion.single_number&##&,&##&single number&##&
&##&promotion.single_number_limit_limit_of_single_account_is_limited&##&,&##&single number limit limit of single account is limited&##&
&##&promotion.commodity_introduction&##&,&##&commodity introduction&##&
&##&promotion.dont_say&##&,&##&dont say&##&
&##&promotion.the_end_of_the_promotion_must_be_greater_than_the_start_of_the_promotion.&##&,&##&the end of the promotion must be greater than the start of the promotion.&##&
&##&promotion.shy&##&,&##&shy&##&
&##&promotion.date_of_voucher_activity&##&,&##&date of voucher activity&##&
&##&promotion.no&##&,&##&no&##&
&##&promotion.a_single_spell&##&,&##&a single spell&##&
&##&promotion.sign_out&##&,&##&sign out&##&
&##&promotion.minimum_value_input_of_coupon_face_value_is_incorrect&##&,&##&minimum value input of coupon face value is incorrect&##&
&##&promotion.add_product_restrictions&##&,&##&add product restrictions&##&
&##&promotion.beaten&##&,&##&beaten&##&
&##&promotion.there_are_repeated_items_in_the_promotion_rules&##&,&##&there are repeated items in the promotion rules&##&
&##&promotion.failed&##&,&##&failed&##&
&##&promotion.hide_editors&##&,&##&hide editors&##&
&##&promotion.a_list_of_iran_cards&##&,&##&a list of iran cards&##&
&##&promotion.country&##&,&##&country&##&
&##&promotion.establish&##&,&##&establish&##&
&##&promotion.lottery_management&##&,&##&lottery management&##&
&##&promotion.ritual_gold_card&##&,&##&ritual gold card&##&
&##&promotion.single_user_s_limit_cannot_be_empty&##&,&##&single user s limit cannot be empty&##&
&##&promotion.full_price_reductions&##&,&##&full price reductions&##&
&##&promotion.commodity_coding&##&,&##&commodity coding&##&
&##&promotion.people_buy_goods_offered_to_reach_the_number_of_packages_or_group_can_be_together&##&,&##&people buy goods offered to reach the number of packages or group can be together&##&
&##&promotion.lately&##&,&##&lately&##&
&##&promotion.number_of_available_vouchers&##&,&##&number of available vouchers&##&
&##&promotion.not_added_to_any_commodity&##&,&##&not added to any commodity&##&
&##&promotion.the_number_of_single_order_limited_vouchers_must_be_positive_integers&##&,&##&the number of single order limited vouchers must be positive integers&##&
&##&promotion.courtesy_card_home_page&##&,&##&courtesy card home page&##&
&##&promotion.payment_mode_configuration&##&,&##&payment mode configuration&##&
&##&promotion.create_payment_preferences&##&,&##&create payment preferences&##&
&##&promotion.smile&##&,&##&smile&##&
&##&promotion.binding_account&##&,&##&binding account&##&
&##&promotion.bottom_line&##&,&##&bottom line&##&
&##&promotion.or_at_least_buy&##&,&##&or at least buy&##&
&##&promotion.full_scale_upgrade&##&,&##&full scale upgrade&##&
&##&promotion.send_coupons&##&,&##&send coupons&##&
&##&promotion.total_purchase_limit&##&,&##&total purchase limit&##&
&##&promotion.scavenging_fonts&##&,&##&scavenging fonts&##&
&##&promotion.kuangyun&##&,&##&kuangyun&##&
&##&promotion.i&##&,&##&i&##&
&##&promotion.sales_effective_time&##&,&##&sales effective time&##&
&##&promotion.audit_success&##&,&##&audit success&##&
&##&promotion.download_template&##&,&##&download template&##&
&##&promotion.a&##&,&##&a&##&
&##&promotion.collage_management&##&,&##&collage management&##&
&##&promotion.create_a_bargain_promotion&##&,&##&create a bargain promotion&##&
&##&promotion.ritual_gold_card_code&##&,&##&ritual gold card code&##&
&##&promotion.the_full_width_half_angle.&##&,&##&the full width half angle.&##&
&##&promotion.station&##&,&##&station&##&
&##&promotion.activity&##&,&##&activity&##&
&##&promotion.retail_special_input_is_mistaken&##&,&##&retail special input is mistaken&##&
&##&promotion.see&##&,&##&see&##&
&##&promotion.the_coupon_type_cannot_be_empty&##&,&##&the coupon type cannot be empty&##&
&##&promotion.name_of_the_activity&##&,&##&name of the activity&##&
&##&promotion.the_number_of_members_must_be_positive_integers&##&,&##&the number of members must be positive integers&##&
&##&promotion.please_select_the_product_that_needs_to_be_deleted&##&,&##&please select the product that needs to be deleted&##&
&##&promotion.the_server&##&,&##&the server&##&
&##&promotion.an_expired_promotion&##&,&##&an expired promotion&##&
&##&promotion.screenshot_plug-in_and_run_installation&##&,&##&screenshot plug-in and run installation&##&
&##&promotion.italic&##&,&##&italic&##&
&##&promotion.city&##&,&##&city&##&
&##&promotion.collage_rules&##&,&##&collage rules&##&
&##&promotion.the_start_time_cannot_be_greater_than_the_end_time&##&,&##&the start time cannot be greater than the end time&##&
&##&promotion.whether_the_winning_list_can_not_be_displayed_at_the_front_desk_is_not_empty&##&,&##&whether the winning list can not be displayed at the front desk is not empty&##&
&##&promotion.collage_activities&##&,&##&collage activities&##&
&##&promotion.choose_to_participate_in_the_store&##&,&##&choose to participate in the store&##&
&##&promotion.active_inventory_must_be_a_positive_integer&##&,&##&active inventory must be a positive integer&##&
&##&promotion.add_the_table_name_line&##&,&##&add the table name line&##&
&##&promotion.the_frequency_of_the_total_limit_must_be_a_positive_integer&##&,&##&the frequency of the total limit must be a positive integer&##&
&##&promotion.the_type_of_member_of_the_granting_object_must_be_selected&##&,&##&the type of member of the granting object must be selected&##&
&##&promotion.you&##&,&##&you&##&
&##&promotion.voucher_time&##&,&##&voucher time&##&
&##&promotion.channel_of_cooperation&##&,&##&channel of cooperation&##&
&##&promotion.distance&##&,&##&distance&##&
&##&promotion.the_following_goods_are_beyond_the_upper_limit_of_activity&##&,&##&the following goods are beyond the upper limit of activity&##&
&##&promotion.please_check_the_link_address_or_network_status&##&,&##&please check the link address or network status&##&
&##&promotion.delete&##&,&##&delete&##&
&##&promotion.random_amount&##&,&##&random amount&##&
&##&promotion.leon&##&,&##&leon&##&
&##&promotion.consignee&##&,&##&consignee&##&
&##&promotion.public_price_input_is_wrong&##&,&##&public price input is wrong&##&
&##&promotion.each_purchase_number_can_not_be_larger_than_the_purchase_of_individual_number&##&,&##&each purchase number can not be larger than the purchase of individual number&##&
&##&promotion.target_user&##&,&##&target user&##&
&##&promotion.common&##&,&##&common&##&
&##&promotion.money_set_off&##&,&##&money set off&##&
&##&promotion.not_yet_drawing&##&,&##&not yet drawing&##&
&##&promotion.small_box&##&,&##&small box&##&
&##&promotion.existence_of_subproduct_price_inconsistencies&##&,&##&existence of subproduct price inconsistencies&##&
&##&promotion.the_blank_slate&##&,&##&the blank slate&##&
&##&promotion.select_by_circling_the_candidates_names&##&,&##&select by circling the candidates names&##&
&##&promotion.positive_number_of_bit_decimal&##&,&##&positive number of bit decimal&##&
&##&promotion.the_user_name_is_a_mobile_phone_number&##&,&##&the user name is a mobile phone number&##&
&##&promotion.post_inserting_paragraph&##&,&##&post inserting paragraph&##&
&##&promotion.confirm_the_addition&##&,&##&confirm the addition&##&
&##&promotion.star_flicker&##&,&##&star flicker&##&
&##&promotion.launch_channel&##&,&##&launch channel&##&
&##&promotion.users_enjoy_the_new&##&,&##&users enjoy the new&##&
&##&promotion.associated_activity_time&##&,&##&associated activity time&##&
&##&promotion.coupon_type&##&,&##&coupon type&##&
&##&promotion.blackbody&##&,&##&blackbody&##&
&##&promotion.set_of_preferential_setting&##&,&##&set of preferential setting&##&
&##&promotion.regional_classification&##&,&##&regional classification&##&
&##&promotion.bulb&##&,&##&bulb&##&
&##&promotion.staircase_rule_conditions_cannot_be_repeated&##&,&##&staircase rule conditions cannot be repeated&##&
&##&promotion.custom_deadline&##&,&##&custom deadline&##&
&##&promotion.activity_description&##&,&##&activity description&##&
&##&promotion.direct_drop_maximum_input&##&,&##&direct drop maximum input&##&
&##&promotion.suggested_use&##&,&##&suggested use&##&
&##&promotion.date_of_activity&##&,&##&date of activity&##&
&##&promotion.the_end_time_of_payment_must_be_greater_than_the_beginning_of_the_tail_payment&##&,&##&the end time of payment must be greater than the beginning of the tail payment&##&
&##&promotion.contract_classification&##&,&##&contract classification&##&
&##&promotion.delivery_time_cannot_be_empty&##&,&##&delivery time cannot be empty&##&
&##&promotion.effective_end_time_of_recommendation&##&,&##&effective end time of recommendation&##&
&##&promotion.whether_or_not_to_delete_goods_in_batch&##&,&##&whether or not to delete goods in batch&##&
&##&promotion.unlimited&##&,&##&unlimited&##&
&##&promotion.full_gift&##&,&##&full gift&##&
&##&promotion.the_limit_of_single_maximum_exemption&##&,&##&the limit of single maximum exemption&##&
&##&promotion.the_start_time_of_the_date_of_the_card_cannot_be_greater_than_the_end_time&##&,&##&the start time of the date of the card cannot be greater than the end time&##&
&##&promotion.download_results&##&,&##&download results&##&
&##&promotion.list_of_registration_activities&##&,&##&list of registration activities&##&
&##&promotion.whether_to_confirm_batch_deletion_of_selected_goods&##&,&##&whether to confirm batch deletion of selected goods&##&
&##&promotion.the_name_of_the_prize_can_not_be_empty&##&,&##&the name of the prize can not be empty&##&
&##&promotion.the_start_time_of_the_registration_is_not_empty&##&,&##&the start time of the registration is not empty&##&
&##&promotion.the_greater_the_set_of_sequence_values&##&,&##&the greater the set of sequence values&##&
&##&promotion.bindings&##&,&##&bindings&##&
&##&promotion.brand_name&##&,&##&brand name&##&
&##&promotion.throw_a_table&##&,&##&throw a table&##&
&##&promotion.template_import&##&,&##&template import&##&
&##&promotion.yesterday&##&,&##&yesterday&##&
&##&promotion.effective_time&##&,&##&effective time&##&
&##&promotion.size_of_original_map&##&,&##&size of original map&##&
&##&promotion.audit_failed_to_pass&##&,&##&audit failed to pass&##&
&##&promotion.please_confirm_the_input&##&,&##&please confirm the input&##&
&##&promotion.year&##&,&##&year&##&
&##&promotion.secondary_configuration_obtained&##&,&##&secondary configuration obtained&##&
&##&promotion.the_files_cant_all_be_empty&##&,&##&the files cant all be empty&##&
&##&promotion.the_last_step&##&,&##&the last step&##&
&##&promotion.the_input_video_address_is_mistaken&##&,&##&the input video address is mistaken&##&
&##&promotion.table_property&##&,&##&table property&##&
&##&promotion.eat_watermelon&##&,&##&eat watermelon&##&
&##&promotion.preferential_upper_limit&##&,&##&preferential upper limit&##&
&##&promotion.hint_text&##&,&##&hint text&##&
&##&promotion.please_select_the_activities_that_need_to_be_associated&##&,&##&please select the activities that need to be associated&##&
&##&promotion.trial_activity&##&,&##&trial activity&##&
&##&promotion.error&##&,&##&error&##&
&##&promotion.a_persons_daily_limit_is_not_empty&##&,&##&a persons daily limit is not empty&##&
&##&promotion.promotion_audit_list&##&,&##&promotion audit list&##&
&##&promotion.the_limit_of_collage_is_not_empty&##&,&##&the limit of collage is not empty&##&
&##&promotion.text-indent&##&,&##&text-indent&##&
&##&promotion.maid_setting&##&,&##&maid setting&##&
&##&promotion.the_screenshot_needs_to_be_installed_first&##&,&##&the screenshot needs to be installed first&##&
&##&promotion.business_area&##&,&##&business area&##&
&##&promotion.crowd-funding&##&,&##&crowd-funding&##&
&##&promotion.can_be_sold_by_different_denominations&##&,&##&can be sold by different denominations&##&
&##&promotion.loading&##&,&##&loading&##&
&##&promotion.please_choose_a_store_that_needs_to_be_added&##&,&##&please choose a store that needs to be added&##&
&##&promotion.enter_your_email_address&##&,&##&enter your email address&##&
&##&promotion.an_order&##&,&##&an order&##&
&##&promotion.create_a_gift_promotion&##&,&##&create a gift promotion&##&
&##&promotion.date_of_voucher&##&,&##&date of voucher&##&
&##&promotion.please_enter_the_address&##&,&##&please enter the address&##&
&##&promotion.the_number_of_personal_limits_must_be_positive_integers&##&,&##&the number of personal limits must be positive integers&##&
&##&promotion.poor&##&,&##&poor&##&
&##&promotion.as&##&,&##&as&##&
&##&promotion.winning_rate&##&,&##&winning rate&##&
&##&promotion.single_cash&##&,&##&single cash&##&
&##&promotion.ah&##&,&##&ah&##&
&##&promotion.halo&##&,&##&halo&##&
&##&promotion.please_rechoose&##&,&##&please rechoose&##&
&##&promotion.upgrade&##&,&##&upgrade&##&
&##&promotion.only_keep_the_label&##&,&##&only keep the label&##&
&##&promotion.the_goods_are_on_the_road&##&,&##&the goods are on the road&##&
&##&promotion.full_reduction&##&,&##&full reduction&##&
&##&promotion.query_replacement&##&,&##&query replacement&##&
&##&promotion.the_success_of_the_gift_promotion&##&,&##&the success of the gift promotion&##&
&##&promotion.a_document&##&,&##&a document&##&
&##&promotion.the_success_of_the_coupon_creation&##&,&##&the success of the coupon creation&##&
&##&promotion.picture_dialog_box&##&,&##&picture dialog box&##&
&##&promotion.continue_through&##&,&##&continue through&##&
&##&promotion.post_discount_price&##&,&##&post discount price&##&
&##&promotion.full_sale&##&,&##&full sale&##&
&##&promotion.active_goods&##&,&##&active goods&##&
&##&promotion.the_note_can_not_be_empty&##&,&##&the note can not be empty&##&
&##&promotion.when_the_mouse_moves_to_the_corresponding_block_in_the_pie_chart&##&,&##&when the mouse moves to the corresponding block in the pie chart&##&
&##&promotion.passwords_support_most_of_the_input&##&,&##&passwords support most of the input&##&
&##&promotion.online_management&##&,&##&online management&##&
&##&promotion.the_name_of_the_label_should_be_limited_to&##&,&##&the name of the label should be limited to&##&
&##&promotion.name_and_order&##&,&##&name and order&##&
&##&promotion.yes&##&,&##&yes&##&
&##&promotion.no_background_color&##&,&##&no background color&##&
&##&promotion.limit_purchase&##&,&##&limit purchase&##&
&##&promotion.please_enter_the_most&##&,&##&please enter the most&##&
&##&promotion.datum_unit&##&,&##&datum unit&##&
&##&promotion.sample&##&,&##&sample&##&
&##&promotion.delete_line&##&,&##&delete line&##&
&##&promotion.create_a_special_package_for_a_set_meal&##&,&##&create a special package for a set meal&##&
&##&promotion.variety&##&,&##&variety&##&
&##&promotion.change_the_purchase_threshold&##&,&##&change the purchase threshold&##&
&##&promotion.table_delete_prompt&##&,&##&table delete prompt&##&
&##&promotion.the_amount_of_the_fixed_payment_can_not_be_greater_than_the_pre_sale_price&##&,&##&the amount of the fixed payment can not be greater than the pre sale price&##&
&##&promotion.no_card&##&,&##&no card&##&
&##&promotion.separate&##&,&##&separate&##&
&##&promotion.culture&##&,&##&culture&##&
&##&promotion.attribute&##&,&##&attribute&##&
&##&promotion.click_open_to_select_the_picture_upload_process&##&,&##&click open to select the picture upload process&##&
&##&promotion.the_number_of_raw_cards_must_be_positive_integers&##&,&##&the number of raw cards must be positive integers&##&
&##&promotion.insert_a_given_content&##&,&##&insert a given content&##&
&##&promotion.export_commodities_to_be_audited&##&,&##&export commodities to be audited&##&
&##&promotion.please_choose_to_delete&##&,&##&please choose to delete&##&
&##&promotion.the_adjustment_of_the_purchase_price&##&,&##&the adjustment of the purchase price&##&
&##&promotion.whether_the_replication_activity_is_confirmed&##&,&##&whether the replication activity is confirmed&##&
&##&promotion.add_brand&##&,&##&add brand&##&
&##&promotion.depressed&##&,&##&depressed&##&
&##&promotion.previous_page&##&,&##&previous page&##&
&##&promotion.the_preferential_setting_can_not_be_empty&##&,&##&the preferential setting can not be empty&##&
&##&promotion.awesome&##&,&##&awesome&##&
&##&promotion.server_return_format_error&##&,&##&server return format error&##&
&##&promotion.import_data&##&,&##&import data&##&
&##&promotion.you_first_need_to_introduce&##&,&##&you first need to introduce&##&
&##&promotion.export_the_goods_to_be_audited&##&,&##&export the goods to be audited&##&
&##&promotion.reduce&##&,&##&reduce&##&
&##&promotion.marketing_type&##&,&##&marketing type&##&
&##&promotion.piece&##&,&##&piece&##&
&##&promotion.the_same_members_will_be_covered&##&,&##&the same members will be covered&##&
&##&promotion.shanghai&##&,&##&shanghai&##&
&##&promotion.frog&##&,&##&frog&##&
&##&promotion.bar_data&##&,&##&bar data&##&
&##&promotion.custom_end_time_must_be_greater_than_custom_start_time&##&,&##&custom end time must be greater than custom start time&##&
&##&promotion.on_the_wall&##&,&##&on the wall&##&
&##&promotion.whether_the_plug-in_is_installed_correctly&##&,&##&whether the plug-in is installed correctly&##&
&##&promotion.the_validity_period_of_the_gift_card_must_be_a_positive_integer&##&,&##&the validity period of the gift card must be a positive integer&##&
&##&promotion.sales_must_be_positive_integers&##&,&##&sales must be positive integers&##&
&##&promotion.setting_the_coupon_rules&##&,&##&setting the coupon rules&##&
&##&promotion.representing_each_user&##&,&##&representing each user&##&
&##&promotion.store&##&,&##&store&##&
&##&promotion.the_daily_time_period_can_not_be_empty&##&,&##&the daily time period can not be empty&##&
&##&promotion.upper_limit_of_the_number_of_user_preferences_per_user&##&,&##&upper limit of the number of user preferences per user&##&
&##&promotion.the_number_of_sharing_can_not_be_empty_after_sharing&##&,&##&the number of sharing can not be empty after sharing&##&
&##&promotion.brush_ones_teeth&##&,&##&brush ones teeth&##&
&##&promotion.setting_up_sales_promotion_rules&##&,&##&setting up sales promotion rules&##&
&##&promotion.group_success&##&,&##&group success&##&
&##&promotion.type&##&,&##&type&##&
&##&promotion.set_the_proportion_of_fixed_domestic_servants_in_accordance_with_the_registered_commodities&##&,&##&set the proportion of fixed domestic servants in accordance with the registered commodities&##&
&##&promotion.chart_type&##&,&##&chart type&##&
&##&promotion.a_single_drop&##&,&##&a single drop&##&
&##&promotion.please_select_the_category_that_needs_to_be_deleted&##&,&##&please select the category that needs to be deleted&##&
&##&promotion.left_floating&##&,&##&left floating&##&
&##&promotion.buy_goods_to_give&##&,&##&buy goods to give&##&
&##&promotion.copy&##&,&##&copy&##&
&##&promotion.the_server_may_refuse_to_save&##&,&##&the server may refuse to save&##&
&##&promotion.add_promotional_goods&##&,&##&add promotional goods&##&
&##&promotion.multi_to_one&##&,&##&multi to one&##&
&##&promotion.word&##&,&##&word&##&
&##&promotion.distance_after_sections&##&,&##&distance after sections&##&
&##&promotion.platform_total_number_of_activities&##&,&##&platform total number of activities&##&
&##&promotion.please_use_it&##&,&##&please use it&##&
&##&promotion.please_select_the_state_of_voucher&##&,&##&please select the state of voucher&##&
&##&promotion.turn_right&##&,&##&turn right&##&
&##&promotion.dance_down&##&,&##&dance down&##&
&##&promotion.continue_uploading&##&,&##&continue uploading&##&
&##&promotion.salute&##&,&##&salute&##&
&##&promotion.empty_file_cant_be_uploaded&##&,&##&empty file cant be uploaded&##&
&##&promotion.request_error&##&,&##&request error&##&
&##&promotion.six_prize&##&,&##&six prize&##&
&##&promotion.the_number_of_booked_input_is_mistaken&##&,&##&the number of booked input is mistaken&##&
&##&promotion.electronic_card_is_not_selected_related_goods_can_not_be_used&##&,&##&electronic card is not selected related goods can not be used&##&
&##&promotion.collocation_group&##&,&##&collocation group&##&
&##&promotion.concessions_including_the_full_capacity_reduction_and_full_reduction&##&,&##&concessions including the full capacity reduction and full reduction&##&
&##&promotion.audition&##&,&##&audition&##&
&##&promotion.paste_options&##&,&##&paste options&##&
&##&promotion.can_be_edited&##&,&##&can be edited&##&
&##&promotion.not_allowed_picture_formats_or_picture_fields&##&,&##&not allowed picture formats or picture fields&##&
&##&promotion.the_starting_price_of_the_price_can_not_be_empty&##&,&##&the starting price of the price can not be empty&##&
&##&promotion.coupons&##&,&##&coupons&##&
&##&promotion.cool&##&,&##&cool&##&
&##&promotion.create_a_package_post_promotion&##&,&##&create a package post promotion&##&
&##&promotion.it_is_necessary_to_fill_in_the_valid_amount&##&,&##&it is necessary to fill in the valid amount&##&
&##&promotion.number_of_vouchers&##&,&##&number of vouchers&##&
&##&promotion.member_limit_purchase&##&,&##&member limit purchase&##&
&##&promotion.determine_the_addition_of&##&,&##&determine the addition of&##&
&##&promotion.package_discount&##&,&##&package discount&##&
&##&promotion.common_settings&##&,&##&common settings&##&
&##&promotion.screenshot&##&,&##&screenshot&##&
&##&promotion.preferential_setting&##&,&##&preferential setting&##&
&##&promotion.ongoing_promotions&##&,&##&ongoing promotions&##&
&##&promotion.within_the_word&##&,&##&within the word&##&
&##&promotion.empty_draft_box&##&,&##&empty draft box&##&
&##&promotion.allowed_scroll_bar&##&,&##&allowed scroll bar&##&
&##&promotion.please_choose_the_city&##&,&##&please choose the city&##&
&##&promotion.activity_priority&##&,&##&activity priority&##&
&##&promotion.list_of_lottery_activities&##&,&##&list of lottery activities&##&
&##&promotion.whether_or_not_to_reset_the_profit_rules_can_not_be_empty&##&,&##&whether or not to reset the profit rules can not be empty&##&
&##&promotion.essential_information&##&,&##&essential information&##&
&##&promotion.operation_time&##&,&##&operation time&##&
&##&promotion.the_type_of_voucher_can_not_be_empty&##&,&##&the type of voucher can not be empty&##&
&##&promotion.please_choose_a_gift_card_that_needs_to_be_abandoned&##&,&##&please choose a gift card that needs to be abandoned&##&
&##&promotion.the_end_time_of_the_entry_into_effect_can_not_be_empty&##&,&##&the end time of the entry into effect can not be empty&##&
&##&promotion.store_code&##&,&##&store code&##&
&##&promotion.percentage_of_the_actual_amount_of_goods_paid_by_the_order&##&,&##&percentage of the actual amount of goods paid by the order&##&
&##&promotion.wood&##&,&##&wood&##&
&##&promotion.the_success_of_exchange_code_generation&##&,&##&the success of exchange code generation&##&
&##&promotion.inventory&##&,&##&inventory&##&
&##&promotion.old_users_exclusive&##&,&##&old users exclusive&##&
&##&promotion.refunding&##&,&##&refunding&##&
